Référence;Désignation;Famille;Type;Fournisseur;Utilisateur;Code barre;N° série;Informations;Site;Date de livraison
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21208;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\6eme etage\609;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21209;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\6eme etage\609;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21210;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\6eme etage\606;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21211;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\6eme etage\606;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21212;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\6eme etage\606;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21213;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\6eme etage\605;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21214;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\6eme etage\605;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21215;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\6eme etage\605;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21216;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\6eme etage\605;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21217;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\6eme etage\604;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21218;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\6eme etage\604;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21219;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\6eme etage\604;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21220;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\6eme etage\604;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21221;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\6eme etage\604;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21222;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\6eme etage\603;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21223;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\6eme etage\603;
PDROIT1600P8, Plan droit L1600 P8 ;Plan droit L1600 P8 ;Mobilier de bureau;Plan droit;EquipBuro;;21370;;"Bureau droit
""NF Environnement Ameublement""
""Office Excellence Certifié""
L 1600 x P 800 x H 720 mm
Plateau mélaminé ép. 25 mm Chêne Fil
Voile de fond mélaminé inclus Chêne Fil
Piétement à dégagement latéral en métal
Aluminium
2 obturateurs Ø 80 mm inclus Aluminium";25\BESANCON\Siege\VIOTTE;
PDROIT1600P8, Plan droit L1600 P8 ;Plan droit L1600 P8 ;Mobilier de bureau;Plan droit;EquipBuro;;21371;;"Bureau droit
""NF Environnement Ameublement""
""Office Excellence Certifié""
L 1600 x P 800 x H 720 mm
Plateau mélaminé ép. 25 mm Chêne Fil
Voile de fond mélaminé inclus Chêne Fil
Piétement à dégagement latéral en métal
Aluminium
2 obturateurs Ø 80 mm inclus Aluminium";25\BESANCON\Siege\VIOTTE;
PDROIT1600P8, Plan droit L1600 P8 ;Plan droit L1600 P8 ;Mobilier de bureau;Plan droit;EquipBuro;;21372;;"Bureau droit
""NF Environnement Ameublement""
""Office Excellence Certifié""
L 1600 x P 800 x H 720 mm
Plateau mélaminé ép. 25 mm Chêne Fil
Voile de fond mélaminé inclus Chêne Fil
Piétement à dégagement latéral en métal
Aluminium
2 obturateurs Ø 80 mm inclus Aluminium";25\BESANCON\Siege\VIOTTE;
PDROIT1600P8, Plan droit L1600 P8 ;Plan droit L1600 P8 ;Mobilier de bureau;Plan droit;EquipBuro;;21373;;"Bureau droit
""NF Environnement Ameublement""
""Office Excellence Certifié""
L 1600 x P 800 x H 720 mm
Plateau mélaminé ép. 25 mm Chêne Fil
Voile de fond mélaminé inclus Chêne Fil
Piétement à dégagement latéral en métal
Aluminium
2 obturateurs Ø 80 mm inclus Aluminium";25\BESANCON\Siege\VIOTTE;
PDROIT1600P8, Plan droit L1600 P8 ;Plan droit L1600 P8 ;Mobilier de bureau;Plan droit;EquipBuro;;21374;;"Bureau droit
""NF Environnement Ameublement""
""Office Excellence Certifié""
L 1600 x P 800 x H 720 mm
Plateau mélaminé ép. 25 mm Chêne Fil
Voile de fond mélaminé inclus Chêne Fil
Piétement à dégagement latéral en métal
Aluminium
2 obturateurs Ø 80 mm inclus Aluminium";25\BESANCON\Siege\VIOTTE;
PDROIT1600P8, Plan droit L1600 P8 ;Plan droit L1600 P8 ;Mobilier de bureau;Plan droit;EquipBuro;;21375;;"Bureau droit
""NF Environnement Ameublement""
""Office Excellence Certifié""
L 1600 x P 800 x H 720 mm
Plateau mélaminé ép. 25 mm Chêne Fil
Voile de fond mélaminé inclus Chêne Fil
Piétement à dégagement latéral en métal
Aluminium
2 obturateurs Ø 80 mm inclus Aluminium";25\BESANCON\Siege\VIOTTE;
PDROIT1600P8, Plan droit L1600 P8 ;Plan droit L1600 P8 ;Mobilier de bureau;Plan droit;EquipBuro;;21376;;"Bureau droit
""NF Environnement Ameublement""
""Office Excellence Certifié""
L 1600 x P 800 x H 720 mm
Plateau mélaminé ép. 25 mm Chêne Fil
Voile de fond mélaminé inclus Chêne Fil
Piétement à dégagement latéral en métal
Aluminium
2 obturateurs Ø 80 mm inclus Aluminium";25\BESANCON\Siege\VIOTTE;
PDROIT1600P8, Plan droit L1600 P8 ;Plan droit L1600 P8 ;Mobilier de bureau;Plan droit;EquipBuro;;21377;;"Bureau droit
""NF Environnement Ameublement""
""Office Excellence Certifié""
L 1600 x P 800 x H 720 mm
Plateau mélaminé ép. 25 mm Chêne Fil
Voile de fond mélaminé inclus Chêne Fil
Piétement à dégagement latéral en métal
Aluminium
2 obturateurs Ø 80 mm inclus Aluminium";25\BESANCON\Siege\VIOTTE;
PDROIT1600P8, Plan droit L1600 P8 ;Plan droit L1600 P8 ;Mobilier de bureau;Plan droit;EquipBuro;;21378;;"Bureau droit
""NF Environnement Ameublement""
""Office Excellence Certifié""
L 1600 x P 800 x H 720 mm
Plateau mélaminé ép. 25 mm Chêne Fil
Voile de fond mélaminé inclus Chêne Fil
Piétement à dégagement latéral en métal
Aluminium
2 obturateurs Ø 80 mm inclus Aluminium";25\BESANCON\Siege\VIOTTE;
PDROIT1600P8, Plan droit L1600 P8 ;Plan droit L1600 P8 ;Mobilier de bureau;Plan droit;EquipBuro;;21379;;"Bureau droit
""NF Environnement Ameublement""
""Office Excellence Certifié""
L 1600 x P 800 x H 720 mm
Plateau mélaminé ép. 25 mm Chêne Fil
Voile de fond mélaminé inclus Chêne Fil
Piétement à dégagement latéral en métal
Aluminium
2 obturateurs Ø 80 mm inclus Aluminium";25\BESANCON\Siege\VIOTTE;
PDROIT1600P8, Plan droit L1600 P8 ;Plan droit L1600 P8 ;Mobilier de bureau;Plan droit;EquipBuro;;21380;;"Bureau droit
""NF Environnement Ameublement""
""Office Excellence Certifié""
L 1600 x P 800 x H 720 mm
Plateau mélaminé ép. 25 mm Chêne Fil
Voile de fond mélaminé inclus Chêne Fil
Piétement à dégagement latéral en métal
Aluminium
2 obturateurs Ø 80 mm inclus Aluminium";25\BESANCON\Siege\VIOTTE;
PDROIT1600P8, Plan droit L1600 P8 ;Plan droit L1600 P8 ;Mobilier de bureau;Plan droit;EquipBuro;;21381;;"Bureau droit
""NF Environnement Ameublement""
""Office Excellence Certifié""
L 1600 x P 800 x H 720 mm
Plateau mélaminé ép. 25 mm Chêne Fil
Voile de fond mélaminé inclus Chêne Fil
Piétement à dégagement latéral en métal
Aluminium
2 obturateurs Ø 80 mm inclus Aluminium";25\BESANCON\Siege\VIOTTE;
PDROIT1600P8, Plan droit L1600 P8 ;Plan droit L1600 P8 ;Mobilier de bureau;Plan droit;EquipBuro;;21382;;"Bureau droit
""NF Environnement Ameublement""
""Office Excellence Certifié""
L 1600 x P 800 x H 720 mm
Plateau mélaminé ép. 25 mm Chêne Fil
Voile de fond mélaminé inclus Chêne Fil
Piétement à dégagement latéral en métal
Aluminium
2 obturateurs Ø 80 mm inclus Aluminium";25\BESANCON\Siege\VIOTTE;
PDROIT1600P8, Plan droit L1600 P8 ;Plan droit L1600 P8 ;Mobilier de bureau;Plan droit;EquipBuro;;21383;;"Bureau droit
""NF Environnement Ameublement""
""Office Excellence Certifié""
L 1600 x P 800 x H 720 mm
Plateau mélaminé ép. 25 mm Chêne Fil
Voile de fond mélaminé inclus Chêne Fil
Piétement à dégagement latéral en métal
Aluminium
2 obturateurs Ø 80 mm inclus Aluminium";25\BESANCON\Siege\VIOTTE;
PDROIT1600P8, Plan droit L1600 P8 ;Plan droit L1600 P8 ;Mobilier de bureau;Plan droit;EquipBuro;;21384;;"Bureau droit
""NF Environnement Ameublement""
""Office Excellence Certifié""
L 1600 x P 800 x H 720 mm
Plateau mélaminé ép. 25 mm Chêne Fil
Voile de fond mélaminé inclus Chêne Fil
Piétement à dégagement latéral en métal
Aluminium
2 obturateurs Ø 80 mm inclus Aluminium";25\BESANCON\Siege\VIOTTE;
PDROIT1600P8, Plan droit L1600 P8 ;Plan droit L1600 P8 ;Mobilier de bureau;Plan droit;EquipBuro;;21385;;"Bureau droit
""NF Environnement Ameublement""
""Office Excellence Certifié""
L 1600 x P 800 x H 720 mm
Plateau mélaminé ép. 25 mm Chêne Fil
Voile de fond mélaminé inclus Chêne Fil
Piétement à dégagement latéral en métal
Aluminium
2 obturateurs Ø 80 mm inclus Aluminium";25\BESANCON\Siege\VIOTTE;
PDROIT1600P8, Plan droit L1600 P8 ;Plan droit L1600 P8 ;Mobilier de bureau;Plan droit;EquipBuro;;21386;;"Bureau droit
""NF Environnement Ameublement""
""Office Excellence Certifié""
L 1600 x P 800 x H 720 mm
Plateau mélaminé ép. 25 mm Chêne Fil
Voile de fond mélaminé inclus Chêne Fil
Piétement à dégagement latéral en métal
Aluminium
2 obturateurs Ø 80 mm inclus Aluminium";25\BESANCON\Siege\VIOTTE;
PDROIT1600P8, Plan droit L1600 P8 ;Plan droit L1600 P8 ;Mobilier de bureau;Plan droit;EquipBuro;;21387;;"Bureau droit
""NF Environnement Ameublement""
""Office Excellence Certifié""
L 1600 x P 800 x H 720 mm
Plateau mélaminé ép. 25 mm Chêne Fil
Voile de fond mélaminé inclus Chêne Fil
Piétement à dégagement latéral en métal
Aluminium
2 obturateurs Ø 80 mm inclus Aluminium";25\BESANCON\Siege\VIOTTE;
PDROIT1600P8, Plan droit L1600 P8 ;Plan droit L1600 P8 ;Mobilier de bureau;Plan droit;EquipBuro;;21388;;"Bureau droit
""NF Environnement Ameublement""
""Office Excellence Certifié""
L 1600 x P 800 x H 720 mm
Plateau mélaminé ép. 25 mm Chêne Fil
Voile de fond mélaminé inclus Chêne Fil
Piétement à dégagement latéral en métal
Aluminium
2 obturateurs Ø 80 mm inclus Aluminium";25\BESANCON\Siege\VIOTTE;
PDROIT1600P8, Plan droit L1600 P8 ;Plan droit L1600 P8 ;Mobilier de bureau;Plan droit;EquipBuro;;21389;;"Bureau droit
""NF Environnement Ameublement""
""Office Excellence Certifié""
L 1600 x P 800 x H 720 mm
Plateau mélaminé ép. 25 mm Chêne Fil
Voile de fond mélaminé inclus Chêne Fil
Piétement à dégagement latéral en métal
Aluminium
2 obturateurs Ø 80 mm inclus Aluminium";25\BESANCON\Siege\VIOTTE;
PDROIT1600P8, Plan droit L1600 P8 ;Plan droit L1600 P8 ;Mobilier de bureau;Plan droit;EquipBuro;;21390;;"Bureau droit
""NF Environnement Ameublement""
""Office Excellence Certifié""
L 1600 x P 800 x H 720 mm
Plateau mélaminé ép. 25 mm Chêne Fil
Voile de fond mélaminé inclus Chêne Fil
Piétement à dégagement latéral en métal
Aluminium
2 obturateurs Ø 80 mm inclus Aluminium";25\BESANCON\Siege\VIOTTE;
PDROIT1600P8, Plan droit L1600 P8 ;Plan droit L1600 P8 ;Mobilier de bureau;Plan droit;EquipBuro;;21391;;"Bureau droit
""NF Environnement Ameublement""
""Office Excellence Certifié""
L 1600 x P 800 x H 720 mm
Plateau mélaminé ép. 25 mm Chêne Fil
Voile de fond mélaminé inclus Chêne Fil
Piétement à dégagement latéral en métal
Aluminium
2 obturateurs Ø 80 mm inclus Aluminium";25\BESANCON\Siege\VIOTTE;
PDROIT1600P8, Plan droit L1600 P8 ;Plan droit L1600 P8 ;Mobilier de bureau;Plan droit;EquipBuro;;21392;;"Bureau droit
""NF Environnement Ameublement""
""Office Excellence Certifié""
L 1600 x P 800 x H 720 mm
Plateau mélaminé ép. 25 mm Chêne Fil
Voile de fond mélaminé inclus Chêne Fil
Piétement à dégagement latéral en métal
Aluminium
2 obturateurs Ø 80 mm inclus Aluminium";25\BESANCON\Siege\VIOTTE;
PDROIT1600P8, Plan droit L1600 P8 ;Plan droit L1600 P8 ;Mobilier de bureau;Plan droit;EquipBuro;;21393;;"Bureau droit
""NF Environnement Ameublement""
""Office Excellence Certifié""
L 1600 x P 800 x H 720 mm
Plateau mélaminé ép. 25 mm Chêne Fil
Voile de fond mélaminé inclus Chêne Fil
Piétement à dégagement latéral en métal
Aluminium
2 obturateurs Ø 80 mm inclus Aluminium";25\BESANCON\Siege\VIOTTE;
PDROIT1600P8, Plan droit L1600 P8 ;Plan droit L1600 P8 ;Mobilier de bureau;Plan droit;EquipBuro;;21394;;"Bureau droit
""NF Environnement Ameublement""
""Office Excellence Certifié""
L 1600 x P 800 x H 720 mm
Plateau mélaminé ép. 25 mm Chêne Fil
Voile de fond mélaminé inclus Chêne Fil
Piétement à dégagement latéral en métal
Aluminium
2 obturateurs Ø 80 mm inclus Aluminium";25\BESANCON\Siege\VIOTTE;
PDROIT1600P8, Plan droit L1600 P8 ;Plan droit L1600 P8 ;Mobilier de bureau;Plan droit;EquipBuro;;21395;;"Bureau droit
""NF Environnement Ameublement""
""Office Excellence Certifié""
L 1600 x P 800 x H 720 mm
Plateau mélaminé ép. 25 mm Chêne Fil
Voile de fond mélaminé inclus Chêne Fil
Piétement à dégagement latéral en métal
Aluminium
2 obturateurs Ø 80 mm inclus Aluminium";25\BESANCON\Siege\VIOTTE;
